,entity1,entity_1_type,entity2,entity_2_type,relation,sentence
2077,Photosynthesis,biological process,Atmosphere of Earth,atmosphere,part of,4 HOW IS THE OXYGEN IN THE ATMOSPHERE REPLACED In Chapter 7 we read about photosynthesis
2078,Repiration,biological process,Oxygen,chemical element,uses,Plants also consume oxygen for respiration but they produce more of it than they consume
2079,Windmill,mill,Wind,phenomenon,powered by,The balance of oxygenThe wind makes the windmill rotate
2080,Flour mill,windmill,Windmill,mill,subclass of,The windmill is used to draw water from tubewells and to run flour mills
2081,Windmill,mill,Electricity,physical phenomenon,use,Windmills are also used to generate electricity
2082,Glider (sailplane),sailplane,Parachute,sports equipment,subclass of,Air helps in the movements of sailing yachts gliders parachutes and aeroplanes
2083,Bat,taxon,Fly,organisms known by a particular common name,uses,Birds bats and insects can fly due to the presence of air
2084,Atmosphere of Earth,atmosphere,Water cycle,biogeochemical cycle,part of,Air plays an important role in water cycle
2085,Fig (windmill),windmill,Windmill,mill,subclass of,12 A windmill Fig
2087,United States,sovereign state,Utah,state of the United States,contains administrative territorial entity,2022 23 153 AIR AROUND US square6Air is found everywher e
2088,Wind,phenomenon,Air in motion,fluid flow,instance of, square6Air in motion is called wind
2090,Combustion,redox,Oxygen,chemical element,has effect, square6Oxygen supports burning and is necessary for living organisms
2091,Atmosphere,gas,Earth,inner planet,part of, square6The envelope of air that surrounds the earth is known as atmosphere
2092,Square6Atmosphere,Atmosphere,Atmosphere,gas,instance of, square6Atmosphere is essential for life on earth
2093,Air,None,Animal,taxon,part of, square6Aquatic animals use dissolved air in water for respiration
2094,Atmosphere,gas,Gas,fluid,instance of,Which gas in the atmosphere is essential for respiration 3
2095,Brunswick River,river,Tasmania River,river,mouth of the watercourse,Remove the strip after a few days
2096,Soot,soot,Dust,granular material,subclass of,Note whether their leaves have some dust or soot deposited over them
2097,Newspaper,business,Periodical literature,text,subclass of,Perhaps the results from all the students could be summarised and reported in newspapers
2098,Air,None,Food,disposable product,part of,The component of air used by green plants to make their food is 
2099,Air,None,Pr esence,physical phenomenon,instance of,List five activities that ar e possible due to the pr esence of air
2100,Garbage,waste,Waste,material,subclass of,How do plants and animals help each other in the exchange of gases in the atmosphere 2022 23 16 Garbage in Garbage out We throw out so much rubbish or garbage everyday from our homes schools shops and offices
2101,Plastic bag,bag,Tin,container,subclass of,The grains pulses biscuits milk or oil purchased in shops are packed in plastic bags or tins
2102,Groundnut,taxon,Nut (fruit),fruit,has fruit type,We generate so much garbage in our day to day activities W e often thr ow groundnut shells on public places in buses or trains after eating the nuts
2103,Bus,motor vehicle,Transport,motion,use,We throw away the ticket when we get off a bus
2105,Pencil,writing implement,Ink,coating,uses,If we make mistakes or spill ink on our notebook we tear off the sheet and throw it away
2106,Slipper,shoe,Shoe,footwear,subclass of,And we also throw away many domestic wastes such as broken toys old clothes shoes and slippers
2107,Safai,taxon,Karamcharis,taxon,parent taxon,What if the garbage is not removed from our homes and surroundings How do you think this will harm us When safai karamcharis take the garbage from the bins where does the garbage go and what happens to it Is it possible for all of this garbage to be changed into something that will not harm us Can we contribute towards this in any way We will look for answers to these questions in this chapter
2108,Paheli,municipality of Finland,Boojhoﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽs,municipality of Finland,shares border with,Children from Paheli and Boojhoﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽs school did a project called ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽDealing wit
2109,Garbage,waste,Landfill,venue,location,1 D EALING WITH GARBAGE Safai karamcharis collect the garbage in trucks and take it to a low lying open area called a landfill Fig
2111,Prime Minister of India,public office,Government of India,organization,part of,1 A landfill The Prime Minister of India launched the Swachh Bharat Mission SBM 
2112,India,sovereign state,Open defecation free India,None,significant event,The aim of this mission is to create an open defecation free India by 2 October 2019
2113,Dustbin,garbage,Garbage,waste,subclass of,A Step towards Cleanliness 2022 23 156 SCIENCE Activity 1 Collect the garbage from your house before it is thrown into the dustbin
2114,Eggshell,food ingredient,Garbage,waste,subclass of,Separate it into two groups so that they have Group 1 Garbage from the kitchen ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ like fruit and vegetable peels egg shells waste food tea 
2115,Paper bag,bag,Leaf,plant organ,made from material,Include newspapers dry leaves and paper bags in this group
2116,Alumin ium,None,Polythene,polymer,use,Group 2 Pieces of cloth polythene bags broken glass alumin ium wrappers nails old shoes and broken toys
2117,Heaps,heap,Group (mathematics),lithostratigraphic unit,part of,Now divide the contents of each group into two separate heaps
2118,Garbage heap,garbage,Garbage,waste,subclass of,2 Putting garbage heaps in pits as A B C and D
2119,Plastic bag,bag,Bag,container,subclass of,Put one heap from Group 1 and one heap from Group 2 into two separate plastic bags
2120,Bag,container,Container,tool,subclass of,T ie the mouth of these two bags tightly
2121,Pit,archaeological site,Soil,granular material,made from material,Put all the four h eaps in separate pits and cover them with soil Fig
2122,Garbage heaps,garbage,Garbage,waste,subclass of,Y ou can also use four pots to bury these garbage heaps
2123,Garbage,waste,Soil,granular material,subclass of,Remove the soil after four days and observe the changes in the garbage
2124,Black,color,Color,quality,instance of,A black colour and no foul smell indicates that rotting of garbage is complete
2125,Pit,architectural structure,Soil,granular material,made from material,Put the heaps again in the pits and cover with the soil
2126,Observation (astronomy),observation,Observation,process,subclass of,Observe again after every two days and note your observations as suggested
2127,Garbage,heap,Heap (computer data storage),computer data storage,subclass of, i rot completely and not smell ii rot only partially iii rot almost completely but still smells bad iv not change at all Garbage in which heap was seen to rot and which did not Enter options i ii iii or iv in the columns of Table 16
2129,Non-useful component,component,Component (mathematics),part,subclass of,The non useful component is separated out
2130,Landfill,venue,Soil,granular material,made from material,It is then spread over the landfill and then covered with a layer of soil
2131,Playground,stadium,Park,architectural structure,subclass of,Once the landfill is completely full it is usually converted into a park or a play ground
2132,Garbage compost,compost,Compost,organic matter,subclass of,To deal with some of the useful components of garbage compost making areas are developed near the landfill
2133,Compost,organic matter,Organic matter,material,subclass of,What is compost Let us learn about it from the following activity
2134,GARBAGE Outobservations,observation,GARBAGE,None,facet of,2022 23 157 GARBAGE IN GARBAGE OUTobservations
2135,Notebook,literary genre,Logic,academic discipline,subclass of,If you make any other observations do not forget to write all these down in your notebook
2136,Combustion,redox,Garbage,waste,subclass of,Do not remove and burn the garbage that did not rot
2137,Rot,degradation,Garbage,waste,has cause,You must have observed fr om this activity that some things in the garbage rot
2138,Compost,organic matter,Manure,organic matter,made from material,The rotting and conversion of some materials into manure is called ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽcompost
2139,Blue,color,Green,color,opposite of,Usually one is coloured blue and the other green
2140,Garbage heap,heap,Garbage,waste,subclass of,Did you notice that these are the materials that do not rot in the garbage heaps The green bins are for collecting kitchen and other plant or animal wastes
2141,Harvest,agricultural activity,Agriculture,academic discipline,part of,Farmers too often burn the husk dried leaves and part of crop plants in their fields after harvesting
2142,Smoke,aerosol,Gas,fluid,instance of,Burning of these produces smoke and gases that are harmful to our health
